"","edf","Ref.df","Chi.sq","p.value","deviance","r.sq","dispersion"
"s(twi)",8.55545387634839,8.93022797869698,119.884111543367,0,0.575813913972293,0.631844281006955,1
"s(slope)",7.25490538643156,8.2356941196918,62.6395429598876,0,0.575813913972293,0.631844281006955,1
"s(northness)",6.36366250716213,6.80321003747732,35.9555895659173,0.000177649567034199,0.575813913972293,0.631844281006955,1
"s(dist_vertebrates)",3.2477852945579,3.89939628315897,67.7386432123267,0,0.575813913972293,0.631844281006955,1
"s(dist_seasonal_water)",5.81679748400987,6.34548052041127,106.183019610722,0,0.575813913972293,0.631844281006955,1
"s(dist_station)",6.26388864970716,6.58039050101191,130.309944428874,0,0.575813913972293,0.631844281006955,1
