"","k'","edf","k-index","p-value"
"s(twi)",9,8.55545387634839,0.503627196441465,0
"s(slope)",9,7.25490538643156,0.495344339469374,0
"s(northness)",9,6.36366250716213,0.501769258472008,0
"s(dist_vertebrates)",9,3.2477852945579,0.530714238169063,0
"s(dist_seasonal_water)",9,5.81679748400987,0.488757419131767,0
"s(dist_station)",9,6.26388864970716,0.51297026147077,0
