"","k'","edf","k-index","p-value"
"s(twi)",9,1.00000533961752,0.594983959601957,0
"s(slope)",9,1.00174704311508,0.586973561671244,0
"s(northness)",9,3.23005324356257,0.5831976418557,0
"s(dist_vertebrates)",9,6.68663908857595,0.578809242527729,0
"s(dist_seasonal_water)",9,4.94402166684211,0.477377777887055,0
"s(dist_station)",9,3.8463901251638,0.550881130707852,0
