"","edf","Ref.df","Chi.sq","p.value","deviance","r.sq","dispersion"
"s(twi)",1.00000533961752,1.00001062295803,10.3288552334399,0.00130986277884404,0.588025952773656,0.600214093557478,1
"s(slope)",1.00174704311508,1.0034463329713,22.0959757898511,3.66370222693035e-06,0.588025952773656,0.600214093557478,1
"s(northness)",3.23005324356257,4.08256351523485,11.3087762789012,0.0248370349751594,0.588025952773656,0.600214093557478,1
"s(dist_vertebrates)",6.68663908857595,7.35590584494559,39.3924966341742,8.62164283799149e-07,0.588025952773656,0.600214093557478,1
"s(dist_seasonal_water)",4.94402166684211,5.38527920628226,42.0227541592713,1.45207705176675e-06,0.588025952773656,0.600214093557478,1
"s(dist_station)",3.8463901251638,4.44570040347745,17.0431494398717,0.00186360313424644,0.588025952773656,0.600214093557478,1
