Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.33155E-4,17.538025142,0.345854947,0.196229319,0.102777778,0
5.52991E-4,17.755130115,0.356103617,0.194690265,0.102777778,0
5.65474E-4,18.035933397,0.362470528,0.192766449,0.102777778,0
5.69235E-4,18.262756447,0.364376204,0.191227395,0.102777778,0
5.80269E-4,18.662324254,0.369934819,0.188534052,0.122222222,0
5.82068E-4,18.77868959,0.370836895,0.187764525,0.125,0
6.00013E-4,19.013734034,0.37976041,0.186225471,0.125,0
6.11035E-4,19.257275553,0.385178855,0.184686418,0.125,0
6.18781E-4,19.503971633,0.388958556,0.183147364,0.125,0
6.2636E-4,19.753555858,0.392634011,0.181608311,0.125,0
6.31165E-4,20.00576391,0.394953001,0.180069257,0.130555556,0
6.42345E-4,20.261871872,0.400313633,0.178530204,0.133333333,0
6.46943E-4,20.51978156,0.402505085,0.17699115,0.133333333,0
6.62542E-4,20.78318503,0.40987846,0.175452097,0.133333333,0
6.7816E-4,21.050964261,0.417170132,0.173913043,0.133333333,0
6.86111E-4,21.256081103,0.420847523,0.172758753,0.136111111,0
6.86111E-4,21.599136619,0.420847523,0.170450173,0.136111111,0
6.92406E-4,21.806544439,0.423742289,0.169680646,0.152777778,0
6.99136E-4,22.015337108,0.426821474,0.168526356,0.152777778,0
7.09863E-4,22.298079318,0.431695348,0.166987303,0.155555556,0
7.2367E-4,22.512655396,0.437907362,0.165833013,0.155555556,0
7.27764E-4,22.803194823,0.439736395,0.164293959,0.155555556,0
7.28647E-4,23.021622541,0.440130121,0.163139669,0.155555556,0
7.38777E-4,23.462367833,0.444626679,0.160831089,0.163888889,0
7.39971E-4,23.536364898,0.445154338,0.160446326,0.163888889,0
7.4559E-4,23.759424289,0.447630863,0.159292035,0.163888889,0
7.58045E-4,24.061804008,0.453080407,0.157752982,0.169444444,0
7.67273E-4,24.290846773,0.457083483,0.156598692,0.169444444,0
7.78709E-4,24.524160723,0.46200382,0.155444402,0.175,0
7.8583E-4,24.759652736,0.465044646,0.154290112,0.175,0
8.08963E-4,25.079231204,0.474805905,0.152751058,0.175,0
8.15078E-4,25.323097189,0.477356349,0.151596768,0.180555556,0
8.19519E-4,25.568300916,0.47920101,0.150442478,0.186111111,0
8.3875E-4,25.818903832,0.487113163,0.149288188,0.186111111,0
8.45861E-4,26.071400832,0.490008556,0.148133898,0.188888889,0
8.5395E-4,26.327014976,0.493281758,0.146979608,0.188888889,0
8.58902E-4,26.584114919,0.495275504,0.145825317,0.188888889,0
8.67436E-4,26.756879539,0.498692908,0.145055791,0.191666667,0
8.70549E-4,27.01759914,0.49993363,0.143901501,0.191666667,0
8.78059E-4,27.280038561,0.502914275,0.14274721,0.197222222,0
8.91284E-4,27.54518018,0.508119888,0.14159292,0.197222222,0
9.05718E-4,27.906086163,0.513739498,0.140053867,0.202777778,0
9.12802E-4,28.088201601,0.516474167,0.13928434,0.205555556,0
9.13379E-4,28.270819713,0.516696132,0.138514813,0.211111111,0
9.23297E-4,28.547485234,0.520496862,0.137360523,0.211111111,0
9.30073E-4,30.028167571,0.523076564,0.131204309,0.252777778,0
9.36789E-4,30.402414693,0.525619531,0.129665256,0.258333333,0
9.40189E-4,30.590442691,0.526901682,0.128895729,0.258333333,0
9.48141E-4,30.779869085,0.529887121,0.128126202,0.258333333,0
9.55555E-4,31.065638743,0.532653622,0.126971912,0.261111111,0
9.5895E-4,31.257351844,0.533915098,0.126202386,0.261111111,0
9.63524E-4,31.546295828,0.535609149,0.125048095,0.269444444,0
9.76117E-4,31.837282003,0.540241183,0.123893805,0.272222222,0
9.84894E-4,32.033672886,0.543442234,0.123124279,0.275,0
1.01462E-3,32.334963511,0.554120032,0.121969988,0.275,0
1.0176E-3,32.538310524,0.555175666,0.121200462,0.275,0
1.0235E-3,32.844327327,0.557261917,0.120046172,0.275,0
1.04916E-3,33.053243028,0.566212118,0.119276645,0.275,0
1.0754E-3,33.266649684,0.575179937,0.118507118,0.275,0
1.09197E-3,33.593721689,0.580746287,0.117352828,0.275,0
1.09595E-3,33.812714737,0.582073547,0.116583301,0.275,0
1.10129E-3,34.032561867,0.583844348,0.115813775,0.275,0
1.10694E-3,34.253920318,0.585712787,0.115044248,0.277777778,0
1.11814E-3,34.587524722,0.589391189,0.113889958,0.280555556,0
1.12024E-3,35.48224762,0.590075502,0.110811851,0.302777778,0
1.12232E-3,35.59447922,0.590753382,0.110427087,0.302777778,0
1.12293E-3,35.819041936,0.590952415,0.109657561,0.305555556,0
1.12771E-3,36.044105601,0.592506769,0.108888034,0.311111111,0
1.13686E-3,36.270689417,0.595464337,0.108118507,0.311111111,0
1.14023E-3,36.612084309,0.596547708,0.106964217,0.319444444,0
1.16455E-3,36.842730794,0.604282833,0.10619469,0.322222222,0
1.18047E-3,37.07797411,0.609267771,0.105425164,0.325,0
1.20916E-3,37.316991445,0.618090384,0.104655637,0.327777778,0
1.23381E-3,37.56128888,0.625512515,0.10388611,0.333333333,0
1.24859E-3,37.809873796,0.629891276,0.103116583,0.333333333,0
1.26949E-3,38.063271187,0.635999536,0.102347057,0.333333333,0
1.27912E-3,38.318460693,0.638778467,0.10157753,0.333333333,0
1.28379E-3,39.342224304,0.640119952,0.098499423,0.355555556,0
1.32013E-3,39.605978736,0.650380699,0.097729896,0.355555556,0
1.33699E-3,39.872692396,0.65504282,0.096960369,0.358333333,0
1.35036E-3,40.408826308,0.658693188,0.095421316,0.369444444,0
1.36529E-3,40.545355245,0.662726161,0.095036553,0.369444444,0
1.39987E-3,40.823691027,0.671884427,0.094267026,0.372222222,0
1.43093E-3,41.10789228,0.679898671,0.093497499,0.375,0
1.44506E-3,41.252398718,0.683479179,0.093112736,0.375,0
1.44512E-3,42.263979296,0.683491961,0.090034629,0.375,0
1.48608E-3,42.558514065,0.693647638,0.089649865,0.394444444,0
1.55208E-3,42.868343294,0.709327922,0.088880339,0.397222222,0
1.59128E-3,43.027471431,0.718258302,0.088495575,0.397222222,0
1.60886E-3,43.349036422,0.72217322,0.087726048,0.397222222,0
1.63005E-3,43.512041192,0.726820213,0.087341285,0.397222222,0
1.64786E-3,45.159903486,0.730666994,0.083108888,0.397222222,0
1.70141E-3,45.33004489,0.741907551,0.083108888,0.425,0
1.72134E-3,45.502178826,0.745969084,0.082724125,0.427777778,0
1.75829E-3,45.852715931,0.753331774,0.081954598,0.430555556,0
1.76581E-3,46.029296433,0.754803879,0.081569835,0.433333333,0
1.81694E-3,46.390648638,0.764585263,0.080800308,0.436111111,0
1.81694E-3,47.117426038,0.764585263,0.078876491,0.436111111,0
1.84671E-3,47.30209719,0.770098377,0.078876491,0.45,0
1.86468E-3,47.857907101,0.773362791,0.077722201,0.458333333,0
1.87176E-3,48.045083446,0.774637883,0.077337437,0.461111111,0
1.90639E-3,48.615436041,0.780764944,0.076183147,0.466666667,0
1.93189E-3,48.808624692,0.785170089,0.075798384,0.469444444,0
1.95737E-3,49.00436143,0.789483895,0.075413621,0.469444444,0
1.97533E-3,49.596960945,0.792473018,0.073874567,0.469444444,0
2.00022E-3,49.796983346,0.796544875,0.073874567,0.477777778,0
2.00737E-3,50.198457318,0.797698958,0.072720277,0.477777778,0
2.02127E-3,50.400583877,0.799924464,0.072720277,0.483333333,0
2.0948E-3,50.610063431,0.811299649,0.072335514,0.483333333,0
2.12817E-3,50.822880269,0.816246841,0.07195075,0.486111111,0
2.13236E-3,58.059072202,0.816859374,0.058868796,0.580555556,0
2.14103E-3,59.126119892,0.818118017,0.056944979,0.594444444,0
2.14103E-3,60.838940478,0.818118017,0.053482109,0.594444444,0
2.16916E-3,61.055856338,0.822146101,0.053482109,0.619444444,0
2.16916E-3,61.489688058,0.822146101,0.052327818,0.619444444,0
2.17911E-3,61.707598702,0.823548988,0.052327818,0.627777778,0
2.18535E-3,63.233597524,0.824423766,0.049634475,0.647222222,0
2.33641E-3,63.467238172,0.844316965,0.049249711,0.65,0
2.36653E-3,64.404813533,0.848006389,0.047710658,0.661111111,0
2.36653E-3,65.114773785,0.848006389,0.046171604,0.661111111,0
2.38211E-3,65.352984312,0.849878814,0.046171604,0.672222222,0
2.44116E-3,65.59710044,0.856773055,0.045786841,0.675,0
2.46918E-3,65.84401828,0.859932152,0.045402078,0.675,0
2.53242E-3,67.084932105,0.86680972,0.043478261,0.688888889,0
2.59136E-3,67.344068309,0.872914419,0.043093497,0.691666667,0
2.59136E-3,68.380613127,0.872914419,0.041169681,0.691666667,0
2.66582E-3,68.647194994,0.88022819,0.041169681,0.705555556,0
2.6757E-3,68.914765227,0.881166861,0.040784917,0.708333333,0
2.7303E-3,69.455365485,0.886221136,0.040015391,0.713888889,0
2.86667E-3,70.561122665,0.89792614,0.038476337,0.725,0
2.86667E-3,93.207823775,0.89792614,0.007695267,0.725,0
2.97917E-3,93.505741035,0.906670333,0.007695267,0.947222222,0
3.00693E-3,93.806434078,0.908710027,0.007310504,0.95,0
3.06264E-3,94.112697852,0.912669979,0.006925741,0.952777778,0
3.09308E-3,94.728269511,0.914760823,0.006156214,0.958333333,0
3.30107E-3,95.058376509,0.927767755,0.005771451,0.961111111,0
3.35169E-3,95.393545882,0.930620828,0.005386687,0.963888889,0
3.64029E-3,97.768591522,0.944861846,0.002693344,0.983333333,0
3.6901E-3,98.865659872,0.947005049,0.001539053,0.991666667,0
3.76503E-3,99.242163291,0.950074069,0.00115429,0.994444444,0
3.81333E-3,100,0.951957233,0.000384763,1,0
