x,y,species cloglog values
221.0,221.0,0.053632125
222.0,222.0,0.001538788
223.0,223.0,0.011868353
224.0,224.0,0.15305007
225.0,225.0,0.13442329
226.0,226.0,0.040749285
227.0,227.0,0.021228751
228.0,228.0,0.012865925
229.0,229.0,0.18630621
230.0,230.0,0.19233862
231.0,231.0,0.046820667
232.0,232.0,0.2588774
233.0,233.0,0.20845672
234.0,234.0,0.21277384
235.0,235.0,0.21262729
236.0,236.0,0.18179806
237.0,237.0,0.06794054
238.0,238.0,0.012994157
239.0,239.0,0.0012552425
240.0,240.0,0.1524795
241.0,241.0,0.29584956
242.0,242.0,0.18726818
243.0,243.0,0.031873737
244.0,244.0,0.022874864
245.0,245.0,0.007614178
246.0,246.0,0.0036144394
247.0,247.0,0.25812662
248.0,248.0,0.07942138
249.0,249.0,3.5299236E-4
250.0,250.0,0.0068652933
251.0,251.0,0.20977722
252.0,252.0,0.10524004
253.0,253.0,9.264629E-4
254.0,254.0,0.106058106
255.0,255.0,0.23581582
256.0,256.0,5.0800777E-4
257.0,257.0,0.5356156
258.0,258.0,0.0015648091
259.0,259.0,0.116028294
260.0,260.0,0.022152545
261.0,261.0,0.18412176
262.0,262.0,0.16956465
263.0,263.0,0.027599122
264.0,264.0,2.8588623E-4
265.0,265.0,0.13189872
266.0,266.0,0.017932234
267.0,267.0,1.5066116E-4
268.0,268.0,1.6590109E-4
269.0,269.0,4.813874E-4
270.0,270.0,0.26876852
271.0,271.0,6.0425344E-4
272.0,272.0,9.5769134E-4
273.0,273.0,3.0805747E-4
274.0,274.0,0.0019853571
275.0,275.0,5.6925986E-4
276.0,276.0,0.0012530466
277.0,277.0,9.97537E-4
278.0,278.0,7.214708E-4
279.0,279.0,8.928905E-4
280.0,280.0,5.0358917E-4
281.0,281.0,0.0031188705
282.0,282.0,0.0043443213
283.0,283.0,0.0039282152
284.0,284.0,0.0010831115
285.0,285.0,2.4125412E-4
286.0,286.0,0.01061692
287.0,287.0,0.12638822
288.0,288.0,0.15355337
289.0,289.0,0.039339874
290.0,290.0,1.680638E-4
291.0,291.0,3.7101284E-4
292.0,292.0,4.8420375E-4
293.0,293.0,0.0015107336
294.0,294.0,0.0036537205
295.0,295.0,7.83611E-4
296.0,296.0,0.0010307073
297.0,297.0,0.0023906212
298.0,298.0,4.9609033E-4
299.0,299.0,6.558661E-4
300.0,300.0,0.00481859
301.0,301.0,0.0070627625
302.0,302.0,0.0045977994
303.0,303.0,7.12029E-4
304.0,304.0,0.00108426
305.0,305.0,0.0111291455
306.0,306.0,0.024223704
307.0,307.0,0.00563574
308.0,308.0,0.0031549218
309.0,309.0,0.0032519812
310.0,310.0,0.0016102039
311.0,311.0,8.8168384E-4
312.0,312.0,0.0038999363
313.0,313.0,0.00271846
314.0,314.0,4.169751E-4
315.0,315.0,0.0029899143
316.0,316.0,0.010411433
317.0,317.0,0.05292901
318.0,318.0,0.05838063
319.0,319.0,0.033319667
320.0,320.0,0.002378433
321.0,321.0,0.0017343987
322.0,322.0,0.013539768
323.0,323.0,0.056318916
324.0,324.0,0.013376641
325.0,325.0,0.010042228
326.0,326.0,6.807453E-4
327.0,327.0,0.004457236
328.0,328.0,0.0016890009
329.0,329.0,1.7662399E-4
330.0,330.0,0.015740346
331.0,331.0,0.02542038
332.0,332.0,0.031354893
333.0,333.0,0.008231086
334.0,334.0,0.020807326
335.0,335.0,0.004186238
336.0,336.0,0.0019731845
337.0,337.0,0.005372048
338.0,338.0,4.0627187E-4
339.0,339.0,8.748178E-4
340.0,340.0,0.04493591
341.0,341.0,0.041053675
342.0,342.0,0.026160944
343.0,343.0,0.0766233
344.0,344.0,0.047486406
345.0,345.0,0.007021014
346.0,346.0,0.037353165
347.0,347.0,0.0071287993
348.0,348.0,7.836688E-4
349.0,349.0,0.0016893252
350.0,350.0,0.01138405
351.0,351.0,0.082277894
352.0,352.0,0.031471215
353.0,353.0,0.0010620237
354.0,354.0,4.1968847E-4
355.0,355.0,7.293422E-4
356.0,356.0,0.018923253
357.0,357.0,0.01673127
358.0,358.0,4.5405002E-4
359.0,359.0,6.827879E-4
360.0,360.0,0.012309193
361.0,361.0,0.02840772
362.0,362.0,0.029881848
363.0,363.0,0.034465384
364.0,364.0,0.032264035
365.0,365.0,0.03590201
366.0,366.0,0.048415095
367.0,367.0,0.009821338
368.0,368.0,0.0011055933
369.0,369.0,3.319991E-4
370.0,370.0,3.6706124E-4
371.0,371.0,0.08433992
372.0,372.0,0.0637706
373.0,373.0,0.10581205
374.0,374.0,0.11795224
375.0,375.0,0.11438727
376.0,376.0,0.07349251
377.0,377.0,0.023245646
378.0,378.0,0.049329404
379.0,379.0,0.0816086
380.0,380.0,0.015680801
381.0,381.0,0.028805492
382.0,382.0,0.016033813
383.0,383.0,0.012854103
384.0,384.0,0.015580235
385.0,385.0,0.0033290184
386.0,386.0,0.0010139811
387.0,387.0,6.1399094E-4
388.0,388.0,0.0017983582
389.0,389.0,0.0074291453
390.0,390.0,0.017877527
391.0,391.0,0.008103902
392.0,392.0,0.0018149952
393.0,393.0,0.0033358552
394.0,394.0,0.02188109
395.0,395.0,0.033415824
396.0,396.0,0.035160277
397.0,397.0,0.0686615
398.0,398.0,0.13162524
399.0,399.0,0.1528459
400.0,400.0,0.041218515
401.0,401.0,0.023444036
402.0,402.0,0.0020336034
403.0,403.0,0.0010708576
404.0,404.0,0.08478176
405.0,405.0,0.15469243
406.0,406.0,0.33290693
407.0,407.0,0.24513312
408.0,408.0,0.13163365
409.0,409.0,0.08070966
410.0,410.0,0.0626542
411.0,411.0,0.15290923
412.0,412.0,0.17401724
413.0,413.0,0.14633495
414.0,414.0,0.023252403
415.0,415.0,0.004963491
416.0,416.0,0.020040078
417.0,417.0,0.0036874334
418.0,418.0,0.0054388265
419.0,419.0,0.0017407737
420.0,420.0,2.5582602E-4
421.0,421.0,1.7775584E-4
422.0,422.0,0.0026170856
423.0,423.0,0.07244798
424.0,424.0,0.11170568
425.0,425.0,0.016340276
426.0,426.0,0.0013064893
427.0,427.0,4.996504E-4
428.0,428.0,0.002828843
429.0,429.0,0.021106694
430.0,430.0,0.043429106
431.0,431.0,0.05594346
432.0,432.0,0.14493333
433.0,433.0,0.29095277
434.0,434.0,0.18617521
435.0,435.0,0.08272238
436.0,436.0,0.018490272
437.0,437.0,7.460395E-4
438.0,438.0,0.0022689416
439.0,439.0,0.0018606845
440.0,440.0,0.08526962
441.0,441.0,0.13040182
442.0,442.0,0.28394985
443.0,443.0,0.302614
444.0,444.0,0.14534858
445.0,445.0,0.1553695
446.0,446.0,0.1307098
447.0,447.0,0.18802594
448.0,448.0,0.150987
449.0,449.0,0.18321034
450.0,450.0,0.12705912
451.0,451.0,0.112580396
452.0,452.0,0.068911165
453.0,453.0,0.030340614
454.0,454.0,0.031327173
455.0,455.0,0.02714489
456.0,456.0,0.0428802
457.0,457.0,0.0021683848
458.0,458.0,3.360329E-4
459.0,459.0,4.567233E-4
460.0,460.0,0.007942355
461.0,461.0,0.09698194
462.0,462.0,0.2738278
463.0,463.0,0.094624065
464.0,464.0,3.7602967E-4
465.0,465.0,9.851231E-4
466.0,466.0,0.0047987024
467.0,467.0,0.0135444505
468.0,468.0,0.020251371
469.0,469.0,0.10141071
470.0,470.0,0.22254515
471.0,471.0,0.33340734
472.0,472.0,0.18538128
473.0,473.0,0.0588081
474.0,474.0,0.020351026
475.0,475.0,0.0076162065
476.0,476.0,0.0062465146
477.0,477.0,0.080970645
478.0,478.0,0.19154452
479.0,479.0,0.16152847
480.0,480.0,0.18182021
481.0,481.0,0.17676127
482.0,482.0,0.14354779
483.0,483.0,0.16197309
484.0,484.0,0.14971717
485.0,485.0,0.090056024
486.0,486.0,0.045013316
487.0,487.0,0.04310914
488.0,488.0,0.011693415
489.0,489.0,9.762863E-4
490.0,490.0,2.990452E-4
491.0,491.0,0.004275829
492.0,492.0,0.032303
493.0,493.0,0.19856653
494.0,494.0,0.0686457
495.0,495.0,0.0010099238
496.0,496.0,0.00145097
497.0,497.0,0.010828476
498.0,498.0,0.026255196
499.0,499.0,0.007093417
500.0,500.0,0.014551255
501.0,501.0,0.052203316
502.0,502.0,0.12858959
503.0,503.0,0.17709097
504.0,504.0,0.12997052
505.0,505.0,0.0751318
506.0,506.0,0.05920847
507.0,507.0,0.016427675
508.0,508.0,0.006317428
509.0,509.0,0.16441597
510.0,510.0,0.16217265
511.0,511.0,0.16328134
512.0,512.0,0.158777
513.0,513.0,0.17429338
514.0,514.0,0.28570077
515.0,515.0,0.2956794
516.0,516.0,0.20679769
517.0,517.0,0.09241038
518.0,518.0,0.050463766
519.0,519.0,0.020216793
520.0,520.0,0.0028156799
521.0,521.0,0.004856393
522.0,522.0,0.20776236
523.0,523.0,0.15662344
524.0,524.0,0.005956583
525.0,525.0,5.5005454E-4
526.0,526.0,0.0025980945
527.0,527.0,0.0045307754
528.0,528.0,0.03306908
529.0,529.0,0.08799701
530.0,530.0,0.022142923
531.0,531.0,0.007611933
532.0,532.0,0.02172266
533.0,533.0,0.046279933
534.0,534.0,0.041439194
535.0,535.0,0.015571764
536.0,536.0,0.0207222
537.0,537.0,0.03922522
538.0,538.0,0.057589978
539.0,539.0,0.070277005
540.0,540.0,0.0661921
541.0,541.0,0.041924972
542.0,542.0,0.023535013
543.0,543.0,0.009683571
544.0,544.0,0.42304596
545.0,545.0,0.19208454
546.0,546.0,0.1130668
547.0,547.0,0.14622757
548.0,548.0,0.1801752
549.0,549.0,0.21961895
550.0,550.0,0.41097596
551.0,551.0,0.72682023
552.0,552.0,0.30093047
553.0,553.0,0.1587756
554.0,554.0,0.2861716
555.0,555.0,0.2906614
556.0,556.0,0.106643185
557.0,557.0,0.017044144
558.0,558.0,0.18093619
559.0,559.0,0.22269554
560.0,560.0,0.2674235
561.0,561.0,0.024514237
562.0,562.0,0.014262717
563.0,563.0,0.01863432
564.0,564.0,0.030238608
565.0,565.0,0.033143867
566.0,566.0,0.04324685
567.0,567.0,0.05973662
568.0,568.0,0.062305916
569.0,569.0,0.052886155
570.0,570.0,0.029239561
571.0,571.0,0.02223848
572.0,572.0,0.049160283
573.0,573.0,0.019368446
574.0,574.0,0.011020971
575.0,575.0,0.012711876
576.0,576.0,0.006302841
577.0,577.0,0.08516931
578.0,578.0,0.08871376
579.0,579.0,0.10124602
580.0,580.0,0.09553191
581.0,581.0,0.15189876
582.0,582.0,0.10489519
583.0,583.0,0.14591065
584.0,584.0,0.12550475
585.0,585.0,0.21159898
586.0,586.0,0.44763085
587.0,587.0,0.5256195
588.0,588.0,0.34011328
589.0,589.0,0.14728363
590.0,590.0,0.29531005
591.0,591.0,0.26015073
592.0,592.0,0.17163332
593.0,593.0,0.045951016
594.0,594.0,0.045675848
595.0,595.0,0.13225983
596.0,596.0,0.32976282
597.0,597.0,0.13927162
598.0,598.0,0.024546707
599.0,599.0,7.0286525E-4
600.0,600.0,3.1103555E-4
601.0,601.0,0.0113601945
602.0,602.0,0.017703163
603.0,603.0,0.027052874
604.0,604.0,0.06348696
605.0,605.0,0.039283745
606.0,606.0,0.048794616
607.0,607.0,0.14244628
608.0,608.0,0.17119764
609.0,609.0,0.08680391
610.0,610.0,0.10322275
611.0,611.0,0.08115442
612.0,612.0,0.012899653
613.0,613.0,0.005501856
614.0,614.0,0.010714511
615.0,615.0,0.06315431
616.0,616.0,0.0046550897
617.0,617.0,0.0346092
618.0,618.0,0.21979888
619.0,619.0,0.1426461
620.0,620.0,0.13647372
621.0,621.0,0.16782407
622.0,622.0,0.2974277
623.0,623.0,0.60428286
624.0,624.0,0.14743131
625.0,625.0,0.10974885
626.0,626.0,0.14472015
627.0,627.0,0.10713307
628.0,628.0,0.055177797
629.0,629.0,0.024906803
630.0,630.0,0.1965465
631.0,631.0,0.63599956
632.0,632.0,0.17353944
633.0,633.0,0.083056346
634.0,634.0,0.014934208
635.0,635.0,0.0010211647
636.0,636.0,0.0019075422
637.0,637.0,0.07434835
638.0,638.0,0.13925944
639.0,639.0,0.24319422
640.0,640.0,0.24540508
641.0,641.0,0.19703993
642.0,642.0,0.12616903
643.0,643.0,0.019228926
644.0,644.0,0.104952894
645.0,645.0,0.33908573
646.0,646.0,0.22188917
647.0,647.0,0.11945181
648.0,648.0,0.16183656
649.0,649.0,0.33065355
650.0,650.0,0.18913746
651.0,651.0,0.1579796
652.0,652.0,0.06716092
653.0,653.0,0.0563768
654.0,654.0,0.105649255
655.0,655.0,0.5694827
656.0,656.0,0.17890966
657.0,657.0,0.24592951
658.0,658.0,0.028256344
659.0,659.0,0.0029511563
660.0,660.0,5.1173865E-4
661.0,661.0,0.2595931
662.0,662.0,0.2074228
663.0,663.0,0.07062017
664.0,664.0,0.03568468
665.0,665.0,0.11457864
666.0,666.0,0.07049014
667.0,667.0,0.08699199
668.0,668.0,0.2857735
669.0,669.0,0.32281658
670.0,670.0,0.27257174
671.0,671.0,0.17556469
672.0,672.0,0.11439932
673.0,673.0,0.055808567
674.0,674.0,0.17052309
675.0,675.0,0.16408774
676.0,676.0,0.16905738
677.0,677.0,0.09384609
678.0,678.0,0.07574025
679.0,679.0,0.059565313
680.0,680.0,0.20246728
681.0,681.0,0.24938755
682.0,682.0,0.17114508
683.0,683.0,0.17471775
684.0,684.0,0.08002932
685.0,685.0,0.0029446112
686.0,686.0,0.16491674
