Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.89395E-4,16.48316407,0.453009247,0.420877458,0.140773158,0
2.91051E-4,16.512269183,0.45489399,0.420574887,0.140773158,0
2.9441E-4,16.894035118,0.458697655,0.416641452,0.14733771,0
3.00447E-4,17.012999425,0.465467277,0.415431165,0.14733771,0
3.11068E-4,17.416050897,0.477173861,0.411195159,0.14733771,0
3.15204E-4,17.510188608,0.481661766,0.410590015,0.154631656,0
3.18206E-4,17.76394393,0.48489567,0.40816944,0.156090445,0
3.20107E-4,18.019362085,0.486933044,0.405748865,0.157549234,0
3.20107E-4,18.595553892,0.486933044,0.4,0.157549234,0
3.23735E-4,18.756472451,0.490799069,0.398789713,0.171407732,0
3.28635E-4,19.281823173,0.495975189,0.393948563,0.181619256,0
3.35731E-4,19.515043932,0.503376175,0.39183056,0.184536834,0
3.35731E-4,19.985067414,0.503376175,0.387291982,0.184536834,0
3.35802E-4,20.018647624,0.503449721,0.387291982,0.195477753,0
3.41666E-4,20.255633797,0.509482784,0.385173979,0.197665937,0
3.50659E-4,20.532617141,0.518593707,0.382753404,0.198395332,0
3.55071E-4,20.780531431,0.523001858,0.380635401,0.202771699,0
3.61547E-4,21.861113399,0.529397956,0.371558245,0.222465354,0
3.6473E-4,22.00637749,0.532510877,0.370347958,0.222465354,0
3.69703E-4,22.264002366,0.537332024,0.368229955,0.222465354,0
3.76451E-4,22.525235394,0.543795721,0.366111952,0.222465354,0
3.85776E-4,22.753684673,0.552578478,0.36429652,0.224653538,0
3.92492E-4,23.026671472,0.558799414,0.362178517,0.226112327,0
3.93309E-4,23.262656904,0.559550787,0.360060514,0.226112327,0
4.00061E-4,23.501489519,0.565707182,0.358547655,0.2297593,0
4.06018E-4,23.783933318,0.57106676,0.356429652,0.230488694,0
4.11706E-4,24.02969257,0.576123237,0.354614221,0.231218089,0
4.16669E-4,24.277772731,0.580486114,0.35279879,0.233406273,0
4.26286E-4,24.659568717,0.588814022,0.350075643,0.237053246,0
4.27724E-4,24.787653866,0.590044627,0.349167927,0.237053246,0
4.34414E-4,25.00388317,0.59572252,0.347655068,0.237053246,0
4.41166E-4,25.574989147,0.601373238,0.343721634,0.244347192,0
4.4598E-4,25.752639637,0.605353807,0.342511346,0.244347192,0
