x,y,species cloglog values
224.0,224.0,0.16725083
225.0,225.0,0.091618806
226.0,226.0,9.780375E-4
227.0,227.0,0.002541161
228.0,228.0,3.6809916E-4
229.0,229.0,0.022085423
230.0,230.0,0.06341384
231.0,231.0,0.0035481795
232.0,232.0,0.0020694414
233.0,233.0,0.004395839
234.0,234.0,0.018578287
235.0,235.0,6.499112E-4
236.0,236.0,7.257942E-4
237.0,237.0,0.006439854
238.0,238.0,0.0091805225
239.0,239.0,0.00852432
240.0,240.0,0.08144922
241.0,241.0,0.01040279
242.0,242.0,0.042691547
243.0,243.0,0.097328864
244.0,244.0,0.11232137
245.0,245.0,0.5113946
246.0,246.0,0.48664
247.0,247.0,0.04185862
248.0,248.0,0.005054757
249.0,249.0,0.51103675
250.0,250.0,0.11705205
251.0,251.0,0.10287325
252.0,252.0,0.043092143
253.0,253.0,0.023209691
254.0,254.0,0.56498885
255.0,255.0,0.19773553
256.0,256.0,0.0010232213
257.0,257.0,0.03354784
258.0,258.0,0.54365206
259.0,259.0,0.31721038
260.0,260.0,0.004631805
261.0,261.0,0.40820503
262.0,262.0,0.5735013
263.0,263.0,0.0017967575
264.0,264.0,0.5804861
265.0,265.0,0.011115463
266.0,266.0,0.12637484
267.0,267.0,0.0016882811
268.0,268.0,0.50678337
269.0,269.0,0.08813212
270.0,270.0,8.775307E-4
271.0,271.0,9.524084E-4
272.0,272.0,0.0031459364
273.0,273.0,0.5699582
274.0,274.0,0.003983574
275.0,275.0,0.0068594264
276.0,276.0,0.002322018
277.0,277.0,0.01968077
278.0,278.0,0.0034678706
279.0,279.0,0.009084772
280.0,280.0,0.011367483
281.0,281.0,0.007173714
282.0,282.0,0.0064083147
283.0,283.0,0.0030385784
284.0,284.0,0.023025203
285.0,285.0,0.010311043
286.0,286.0,0.0010102754
287.0,287.0,0.13340579
288.0,288.0,8.780287E-4
289.0,289.0,0.0013717483
290.0,290.0,9.316257E-4
291.0,291.0,0.014877559
292.0,292.0,0.26187938
293.0,293.0,0.0032712324
294.0,294.0,0.004177451
295.0,295.0,0.009047119
296.0,296.0,0.001359926
297.0,297.0,0.0014553576
298.0,298.0,0.013322954
299.0,299.0,0.024214534
300.0,300.0,0.017783793
301.0,301.0,0.0012634735
302.0,302.0,0.00735038
303.0,303.0,0.0813857
304.0,304.0,0.12626259
305.0,305.0,0.046535425
306.0,306.0,0.14502501
307.0,307.0,0.25341427
308.0,308.0,0.18648478
309.0,309.0,0.018975321
310.0,310.0,0.02767357
311.0,311.0,0.010107648
312.0,312.0,0.0050589386
313.0,313.0,0.024922356
314.0,314.0,0.01239972
315.0,315.0,0.001146494
316.0,316.0,0.008437924
317.0,317.0,0.04220049
318.0,318.0,0.005621701
319.0,319.0,0.004183265
320.0,320.0,0.04173942
321.0,321.0,0.124333374
322.0,322.0,0.042910405
323.0,323.0,0.034486014
324.0,324.0,0.0011782162
325.0,325.0,0.033262994
326.0,326.0,0.017966967
327.0,327.0,9.312506E-4
328.0,328.0,0.10665483
329.0,329.0,0.1427707
330.0,330.0,0.14221042
331.0,331.0,0.1390838
332.0,332.0,0.16825561
333.0,333.0,0.15013087
334.0,334.0,0.06547577
335.0,335.0,0.10884951
336.0,336.0,0.031657
337.0,337.0,0.015684204
338.0,338.0,0.031240521
339.0,339.0,0.0012074134
340.0,340.0,0.0022888323
341.0,341.0,0.12981182
342.0,342.0,0.12881303
343.0,343.0,0.03201785
344.0,344.0,0.121339306
345.0,345.0,0.028738765
346.0,346.0,0.0014137726
347.0,347.0,0.0036216099
348.0,348.0,0.03914462
349.0,349.0,0.17641799
350.0,350.0,0.081364445
351.0,351.0,0.0018603317
352.0,352.0,8.92164E-4
353.0,353.0,0.0018242986
354.0,354.0,0.10004267
355.0,355.0,0.10075958
356.0,356.0,0.0028494354
357.0,357.0,0.0045586885
358.0,358.0,0.092677355
359.0,359.0,0.14706951
360.0,360.0,0.14708006
361.0,361.0,0.14677888
362.0,362.0,0.15589114
363.0,363.0,0.1770314
364.0,364.0,0.19234517
365.0,365.0,0.06321786
366.0,366.0,0.004418003
367.0,367.0,0.001088883
368.0,368.0,0.001159233
369.0,369.0,0.1655846
370.0,370.0,0.16404332
371.0,371.0,0.22554478
372.0,372.0,0.23187907
373.0,373.0,0.08620106
374.0,374.0,0.14035363
375.0,375.0,0.17290546
376.0,376.0,0.0492809
377.0,377.0,0.08597969
378.0,378.0,0.05692268
379.0,379.0,0.044324916
380.0,380.0,0.050067842
381.0,381.0,0.0070105707
382.0,382.0,0.0018861948
383.0,383.0,0.0015033443
384.0,384.0,0.006094892
385.0,385.0,0.06827701
386.0,386.0,0.12717482
387.0,387.0,0.07853423
388.0,388.0,0.012673125
389.0,389.0,0.026035886
390.0,390.0,0.12512203
391.0,391.0,0.15252371
392.0,392.0,0.15870924
393.0,393.0,0.23075175
394.0,394.0,0.0077291224
395.0,395.0,0.0031861998
396.0,396.0,0.20499608
397.0,397.0,0.25120786
398.0,398.0,0.34548727
399.0,399.0,0.31022778
400.0,400.0,0.25361153
401.0,401.0,0.23182537
402.0,402.0,0.17341225
403.0,403.0,0.06807658
404.0,404.0,0.014041419
405.0,405.0,0.05734195
406.0,406.0,0.0070247077
407.0,407.0,0.01201565
408.0,408.0,0.0029872397
409.0,409.0,6.0594175E-4
410.0,410.0,0.0010023869
411.0,411.0,0.030752068
412.0,412.0,0.2466131
413.0,413.0,0.33020836
414.0,414.0,0.10376229
415.0,415.0,0.008606779
416.0,416.0,0.0021311578
417.0,417.0,0.019697178
418.0,418.0,0.11155538
419.0,419.0,0.17265497
420.0,420.0,0.09118022
421.0,421.0,0.0020845039
422.0,422.0,0.006457801
423.0,423.0,0.0040630237
424.0,424.0,0.18569231
425.0,425.0,0.23048823
426.0,426.0,0.24384433
427.0,427.0,0.29192123
428.0,428.0,0.23022765
429.0,429.0,0.22027972
430.0,430.0,0.17983101
431.0,431.0,0.095129125
432.0,432.0,0.08870202
433.0,433.0,0.08004059
434.0,434.0,0.10984188
435.0,435.0,0.0052940124
436.0,436.0,8.6014695E-4
437.0,437.0,0.002416575
438.0,438.0,0.08147771
439.0,439.0,0.387873
440.0,440.0,0.6883484
441.0,441.0,0.25647992
442.0,442.0,0.0014547748
443.0,443.0,0.0037023134
444.0,444.0,0.025120407
445.0,445.0,0.08088028
446.0,446.0,0.18754745
447.0,447.0,0.08477405
448.0,448.0,0.03428069
449.0,449.0,0.02615639
450.0,450.0,0.17495531
451.0,451.0,0.17784038
452.0,452.0,0.259642
453.0,453.0,0.28126076
454.0,454.0,0.27345914
455.0,455.0,0.2623552
456.0,456.0,0.29632404
457.0,457.0,0.2758232
458.0,458.0,0.21140884
459.0,459.0,0.115060225
460.0,460.0,0.116876684
461.0,461.0,0.041685786
462.0,462.0,0.0021756303
463.0,463.0,8.4346026E-4
464.0,464.0,0.043307494
465.0,465.0,0.16495039
466.0,466.0,0.37765852
467.0,467.0,0.21573931
468.0,468.0,0.0042206245
469.0,469.0,0.0061649354
470.0,470.0,0.071587086
471.0,471.0,0.12633349
472.0,472.0,0.038914073
473.0,473.0,0.08357418
474.0,474.0,0.2038772
475.0,475.0,0.15971956
476.0,476.0,0.06528035
477.0,477.0,0.026543211
478.0,478.0,0.29695964
479.0,479.0,0.2886207
480.0,480.0,0.2721964
481.0,481.0,0.26798847
482.0,482.0,0.32828772
483.0,483.0,0.3507613
484.0,484.0,0.35931733
485.0,485.0,0.30285507
486.0,486.0,0.18850182
487.0,487.0,0.13461626
488.0,488.0,0.058668762
489.0,489.0,0.0070321513
490.0,490.0,0.012514297
491.0,491.0,0.2966543
492.0,492.0,0.26615694
493.0,493.0,0.026855122
494.0,494.0,0.0016120033
495.0,495.0,0.024451483
496.0,496.0,0.040191803
497.0,497.0,0.15729623
498.0,498.0,0.24343035
499.0,499.0,0.11257947
500.0,500.0,0.06393263
501.0,501.0,0.085929245
502.0,502.0,0.09848115
503.0,503.0,0.17110814
504.0,504.0,0.1366161
505.0,505.0,0.093364105
506.0,506.0,0.04362754
507.0,507.0,0.2084747
508.0,508.0,0.2440292
509.0,509.0,0.2551857
510.0,510.0,0.30779424
511.0,511.0,0.343184
512.0,512.0,0.42349866
513.0,513.0,0.5942449
514.0,514.0,0.36748603
515.0,515.0,0.26635247
516.0,516.0,0.3419348
517.0,517.0,0.3378957
518.0,518.0,0.20291962
519.0,519.0,0.06603493
520.0,520.0,0.29919413
521.0,521.0,0.36254293
522.0,522.0,0.26001632
523.0,523.0,0.09389553
524.0,524.0,0.086118795
525.0,525.0,0.11335449
526.0,526.0,0.14334731
527.0,527.0,0.17104949
528.0,528.0,0.18997386
529.0,529.0,0.16340734
530.0,530.0,0.07950215
531.0,531.0,0.049968783
532.0,532.0,0.05521942
533.0,533.0,0.02040511
534.0,534.0,0.18127942
535.0,535.0,0.28494126
536.0,536.0,0.32352936
537.0,537.0,0.4840909
538.0,538.0,0.45869765
539.0,539.0,0.3845588
540.0,540.0,0.2651399
541.0,541.0,0.35294828
542.0,542.0,0.32513815
543.0,543.0,0.27845114
544.0,544.0,0.15997021
545.0,545.0,0.16228233
546.0,546.0,0.24540836
547.0,547.0,0.38900623
548.0,548.0,0.26592496
549.0,549.0,0.09244788
550.0,550.0,0.0032001932
551.0,551.0,0.0010925012
552.0,552.0,0.070147656
553.0,553.0,0.08618825
554.0,554.0,0.060514323
555.0,555.0,0.025004042
556.0,556.0,0.042583328
557.0,557.0,0.14970343
558.0,558.0,0.28592068
559.0,559.0,0.36089528
560.0,560.0,0.34547526
561.0,561.0,0.5963226
562.0,562.0,0.68033326
563.0,563.0,0.4850558
564.0,564.0,0.34078547
565.0,565.0,0.26844898
566.0,566.0,0.226801
567.0,567.0,0.32201362
568.0,568.0,0.22877215
569.0,569.0,0.032568306
570.0,570.0,0.0025684522
571.0,571.0,0.0083701955
572.0,572.0,0.424034
573.0,573.0,0.51501846
574.0,574.0,0.59995645
575.0,575.0,0.38973808
576.0,576.0,0.35040092
577.0,577.0,0.43151197
578.0,578.0,0.66840374
579.0,579.0,0.7223698
580.0,580.0,0.36787423
581.0,581.0,0.2500769
582.0,582.0,0.5957225
583.0,583.0,0.32361957
584.0,584.0,0.34283805
585.0,585.0,0.102168955
586.0,586.0,0.0108390255
587.0,587.0,0.0014496427
588.0,588.0,0.52939796
589.0,589.0,0.5094828
590.0,590.0,0.32833755
591.0,591.0,0.17347266
592.0,592.0,0.29160872
593.0,593.0,0.21421874
594.0,594.0,0.32162526
595.0,595.0,0.31647313
596.0,596.0,0.33462754
597.0,597.0,0.35791206
