Predictor variable,Categorical,Sample average
dist_seasonal_water,false,231295.5725092641
dist_station,false,12929.074133140513
dist_vertebrates,false,41733.63455462856
northness,false,-0.021236163970503485
slope,false,3.4302222863067944
twi,false,6.173278775726419
