"","var","rel.inf"
"dist_seasonal_water","dist_seasonal_water",47.6734371967544
"dist_vertebrates","dist_vertebrates",16.4952143517171
"dist_station","dist_station",16.3382010761135
"twi","twi",8.16919679857718
"slope","slope",6.81729673922618
"northness","northness",4.50665383761156
